nom,date,monitoring_en,ner_json,emotion_json
Bunia,19-05-2026,"Alerts (18/05): 16 total (3 carried + 13 new); 10 alive, 6 deceased; 16 investigated; 16 validated; 10 sampled; 9 isolated, 1 not isolated. Alerts (19/05): 35 total; 30 alive, 5 deceased; 33 investigated, 2 not investigated; 29 validated (5 deceased), 4 invalidated; 10 sampled; 30 isolated.",[],"{""label"": ""neutral"", ""score"": 0.4936}"
Rwampara,19-05-2026,"Alerts (18/05): 30 total (7 carried + 23 new); 20 alive, 10 deceased; 22 investigated; 21 validated, 1 invalidated; 21 sampled; 46 isolated. Alerts (19/05): 27 total (8 carried + 19 new); 22 alive, 5 deceased; 20 investigated, 7 not investigated; 18 validated, 2 invalidated; 13 sampled; 13 isolated.",[],"{""label"": ""neutral"", ""score"": 0.4932}"
Nyankunde,19-05-2026,"Alerts (18/05): 4 total (4 new); 3 alive, 1 deceased; 4 investigated; 4 validated; 4 sampled; 3 isolated. Alerts (19/05): 6 total; 2 alive, 4 deceased; 5 investigated, 1 not investigated; 5 validated; 5 sampled.",[],"{""label"": ""neutral"", ""score"": 0.5038}"
Mongbwalu,19-05-2026,"Alerts (18/05): 11 total (11 new); 9 alive, 2 deceased; 9 investigated, 2 not investigated; 9 validated, 2 invalidated; 2 sampled; 9 isolated. Alerts (19/05): 7 total; 4 alive, 3 deceased; 7 investigated; 7 validated; 7 sampled; 4 isolated.",[],"{""label"": ""neutral"", ""score"": 0.4644}"
Nizi,19-05-2026,Alerts (18/05): 1 total (1 new); 1 alive; 1 investigated; 1 validated; 0 sampled; 1 not isolated.,[],"{""label"": ""neutral"", ""score"": 0.7619}"
Lita,19-05-2026,Alerts (18/05): 2 total (2 new); 2 alive; 2 investigated; 2 validated; 2 isolated.,[],"{""label"": ""neutral"", ""score"": 0.6689}"
Bambu,19-05-2026,"Briefing of surveillance teams on alerts, investigations, active case search, contact listing and follow-up; briefing of PoE/PoC team on mapping of their sites; organisation of the surveillance pillar (focal points per HZ, roles and responsibilities); deployment of surveillance teams in 3 HZ in epidemic: Bunia, Rwampara and Nyankunde.","[{""type"": ""ORG"", ""value"": ""PoE"", ""score"": 0.9755}, {""type"": ""ORG"", ""value"": ""PoC"", ""score"": 0.8953}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.4861}, {""type"": ""LOC"", ""value"": ""##uni"", ""score"": 0.2524}, {""type"": ""ORG"", ""value"": ""##a"", ""score"": 0.3553}, {""type"": ""LOC"", ""value"": ""Rwamp"", ""score"": 0.7362}, {""type"": ""ORG"", ""value"": ""##ara"", ""score"": 0.6265}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.7985}]","{""label"": ""neutral"", ""score"": 0.8313}"
Komanda,19-05-2026,"Komanda 3 (1 deceased), Bambu 1 (1 deceased), Mangala 2; all investigated and validated.","[{""type"": ""PER"", ""value"": ""Ko"", ""score"": 0.8109}, {""type"": ""ORG"", ""value"": ""##manda"", ""score"": 0.6321}, {""type"": ""PER"", ""value"": ""Bamb"", ""score"": 0.7876}, {""type"": ""PER"", ""value"": ""Man"", ""score"": 0.948}]","{""label"": ""neutral"", ""score"": 0.76}"
Goma,20-05-2026,Support to Katwa and Goma HZ in in-depth investigation and contact listing around confirmed cases; setting up of an alert management system (promotion of the civil-protection toll-free number); start of contact follow-up around the confirmed case in Goma HZ; investigations and contact listing around 4 confirmed cases in North Kivu.,"[{""type"": ""ORG"", ""value"": ""Katwa"", ""score"": 0.9722}, {""type"": ""ORG"", ""value"": ""Goma HZ"", ""score"": 0.8423}, {""type"": ""LOC"", ""value"": ""Goma"", ""score"": 0.7463}, {""type"": ""ORG"", ""value"": ""H"", ""score"": 0.8974}, {""type"": ""LOC"", ""value"": ""##Z"", ""score"": 0.4963}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.9986}]","{""label"": ""neutral"", ""score"": 0.5841}"
Bunia,20-05-2026,"Alerts (20/05): 39 total; 31 alive, 8 deceased; 35 investigated, 4 not investigated; 35 validated; 11 sampled; 30 isolated, 1 not isolated.",[],"{""label"": ""neutral"", ""score"": 0.5879}"
Rwampara,20-05-2026,"Alerts (20/05): 35 total (4 carried + 31 new); 34 alive, 1 deceased; 35 investigated; 25 validated, 10 invalidated; 14 sampled; 25 isolated. Activation of PoC Dele (Rwampara HZ) and Mudzibala (Bunia HZ) with IOM support; 124 providers identified for 10 PoC; IOM provided 120 plastic chairs, 60 boxes of gloves and other IPC materials; site assessment of Kasindi/Nobili PoE and Eringeti/Mavivi Airport/PK5/Nzuma PoC. PoE/PoC synthesis (20/05): 1,881 travellers passed, screened, hand-washed and sensitised; 0 alerts, 0 refusals (key points: Bunia Mudzibala 355, Aru Ombayi 253, Aru Ofoo 195, Kasenyi 186, Mahagi Anzidha 184)","[{""type"": ""ORG"", ""value"": ""PoC Dele"", ""score"": 0.9962}, {""type"": ""ORG"", ""value"": ""Rwampara HZ"", ""score"": 0.9086}, {""type"": ""ORG"", ""value"": ""Mudzibala"", ""score"": 0.7147}, {""type"": ""ORG"", ""value"": ""Bunia HZ"", ""score"": 0.86}, {""type"": ""ORG"", ""value"": ""IOM"", ""score"": 0.9558}, {""type"": ""ORG"", ""value"": ""IOM"", ""score"": 0.9851}, {""type"": ""ORG"", ""value"": ""IP"", ""score"": 0.9439}, {""type"": ""LOC"", ""value"": ""Kasindi"", ""score"": 0.9876}, {""type"": ""LOC"", ""value"": ""No"", ""score"": 0.9724}, {""type"": ""LOC"", ""value"": ""##bili PoE"", ""score"": 0.6915}, {""type"": ""LOC"", ""value"": ""Eringeti"", ""score"": 0.9789}, {""type"": ""LOC"", ""value"": ""Mavivi Airport"", ""score"": 0.8727}, {""type"": ""LOC"", ""value"": ""P"", ""score"": 0.5641}, {""type"": ""LOC"", ""value"": ""Nzuma Po"", ""score"": 0.767}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.97}, {""type"": ""ORG"", ""value"": ""##uni"", ""score"": 0.4225}, {""type"": ""PER"", ""value"": ""##a Mu"", ""score"": 0.7202}, {""type"": ""ORG"", ""value"": ""##zi"", ""score"": 0.3374}, {""type"": ""PER"", ""value"": ""##bal"", ""score"": 0.6442}, {""type"": ""PER"", ""value"": ""A"", ""score"": 0.9994}, {""type"": ""PER"", ""value"": ""##ru Omba"", ""score"": 0.9986}, {""type"": ""PER"", ""value"": ""A"", ""score"": 0.9994}, {""type"": ""PER"", ""value"": ""##ru Of"", ""score"": 0.9989}, {""type"": ""PER"", ""value"": ""Kasenyi"", ""score"": 0.9343}, {""type"": ""PER"", ""value"": ""Ma"", ""score"": 0.9993}, {""type"": ""PER"", ""value"": ""##ha"", ""score"": 0.7317}, {""type"": ""PER"", ""value"": ""##gi Anzidha"", ""score"": 0.874}]","{""label"": ""neutral"", ""score"": 0.5822}"
Nyankunde,20-05-2026,Alerts (20/05): 9 total; 9 alive; 9 investigated; 9 validated; 9 sampled; 9 isolated.,[],"{""label"": ""neutral"", ""score"": 0.6728}"
Mongbwalu,20-05-2026,"Alerts (20/05): 9 total; 6 alive, 3 deceased; 8 investigated, 1 not investigated; 8 validated, 1 invalidated; 7 sampled; 6 isolated.",[],"{""label"": ""neutral"", ""score"": 0.4678}"
Bambu,20-05-2026,"Komanda 2 (1 community), Bambu 1 (1 community death), Lolwa 1; mostly investigated and validated.","[{""type"": ""ORG"", ""value"": ""Komanda"", ""score"": 0.6461}, {""type"": ""ORG"", ""value"": ""Bamb"", ""score"": 0.5312}, {""type"": ""ORG"", ""value"": ""Lolwa"", ""score"": 0.5882}]","{""label"": ""neutral"", ""score"": 0.6822}"
Aru,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Aungba,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Bambu,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Damas,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Bunia,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective. Mise en place d un système d alerte précoce dans le site des déplacés de l ISP Bunia. Briefing des RECO sur la SBC et suivi de contacts. Résultat : 159 RECO atteints au jour J2.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.6738}, {""type"": ""ORG"", ""value"": ""ISP Buni"", ""score"": 0.7313}, {""type"": ""ORG"", ""value"": ""R"", ""score"": 0.6526}, {""type"": ""ORG"", ""value"": ""##O"", ""score"": 0.6356}, {""type"": ""ORG"", ""value"": ""SBC"", ""score"": 0.9955}]","{""label"": ""neutral"", ""score"": 0.8092}"
Gety,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Kilo,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Komanda,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Lita,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Mangala,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Mongbwalu,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Nizi,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Nyankunde,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Rwampara,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Butembo,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Goma,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Oicha,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Kalunguta,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Katwa,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Kyondo,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Beni,30-05-2026,"Reorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire rétrospective.","[{""type"": ""ORG"", ""value"": ""##S"", ""score"": 0.7029}]","{""label"": ""neutral"", ""score"": 0.5853}"
Aru,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Aungba,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Bambu,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Bunia,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review. Twelve (12) alerts faced community resistance, hindering their verification. Nine (9) PPL alerts under verification.","[{""type"": ""ORG"", ""value"": ""PPL"", ""score"": 0.9878}]","{""label"": ""anger"", ""score"": 0.4687}"
Damas,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Gety,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Kilo,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Komanda,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Lita,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Logo,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review. Newly affected health zone as of 31 May 2026 — 1 new confirmed case.",[],"{""label"": ""neutral"", ""score"": 0.6033}"
Mangala,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Mongbwalu,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Nizi,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review. Community resistance to contact listing and follow-up around confirmed cases.",[],"{""label"": ""neutral"", ""score"": 0.502}"
Nyankunde,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Rwampara,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Beni,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Butembo,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Goma,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Kalunguta,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Katwa,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Kyondo,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Oicha,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Aru,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review. | Briefing of IT officers on community-based surveillance (CBS) and EVD surveillance.","[{""type"": ""MISC"", ""value"": ""IT"", ""score"": 0.4757}, {""type"": ""ORG"", ""value"": ""CBS"", ""score"": 0.5553}, {""type"": ""ORG"", ""value"": ""E"", ""score"": 0.5753}, {""type"": ""MISC"", ""value"": ""##VD"", ""score"": 0.6107}]","{""label"": ""neutral"", ""score"": 0.738}"
Aungba,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Bambu,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review. | Briefing of IT officers on community-based surveillance (CBS) and EVD surveillance.","[{""type"": ""MISC"", ""value"": ""IT"", ""score"": 0.4757}, {""type"": ""ORG"", ""value"": ""CBS"", ""score"": 0.5553}, {""type"": ""ORG"", ""value"": ""E"", ""score"": 0.5753}, {""type"": ""MISC"", ""value"": ""##VD"", ""score"": 0.6107}]","{""label"": ""neutral"", ""score"": 0.738}"
Bunia,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review. | Briefing of IT officers on community-based surveillance (CBS) and EVD surveillance. | Twelve (12) alerts faced community resistance, hindering their verification. | Investigation of confirmed cases from 31 May 2026.","[{""type"": ""MISC"", ""value"": ""IT"", ""score"": 0.5446}, {""type"": ""ORG"", ""value"": ""CBS"", ""score"": 0.8157}, {""type"": ""ORG"", ""value"": ""EVD"", ""score"": 0.6588}]","{""label"": ""fear"", ""score"": 0.4183}"
Damas,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
