nom,date,monitoring_en,ner_json,emotion_json
Gety,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Kilo,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Komanda,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Lita,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Logo,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Mambasa,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Mangala,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Mongbwalu,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review. | Briefing of IT officers on community-based surveillance (CBS) and EVD surveillance.","[{""type"": ""MISC"", ""value"": ""IT"", ""score"": 0.4757}, {""type"": ""ORG"", ""value"": ""CBS"", ""score"": 0.5553}, {""type"": ""ORG"", ""value"": ""E"", ""score"": 0.5753}, {""type"": ""MISC"", ""value"": ""##VD"", ""score"": 0.6107}]","{""label"": ""neutral"", ""score"": 0.738}"
Nizi,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review. | Community resistance to contact listing and follow-up around confirmed cases. | In-depth investigation around confirmed cases from 31 May 2026.",[],"{""label"": ""anger"", ""score"": 0.3614}"
Nyankunde,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review. | Briefing of IT officers on community-based surveillance (CBS) and EVD surveillance.","[{""type"": ""MISC"", ""value"": ""IT"", ""score"": 0.4757}, {""type"": ""ORG"", ""value"": ""CBS"", ""score"": 0.5553}, {""type"": ""ORG"", ""value"": ""E"", ""score"": 0.5753}, {""type"": ""MISC"", ""value"": ""##VD"", ""score"": 0.6107}]","{""label"": ""neutral"", ""score"": 0.738}"
Rwampara,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review. | Briefing of IT officers on community-based surveillance (CBS) and EVD surveillance.","[{""type"": ""MISC"", ""value"": ""IT"", ""score"": 0.4757}, {""type"": ""ORG"", ""value"": ""CBS"", ""score"": 0.5553}, {""type"": ""ORG"", ""value"": ""E"", ""score"": 0.5753}, {""type"": ""MISC"", ""value"": ""##VD"", ""score"": 0.6107}]","{""label"": ""neutral"", ""score"": 0.738}"
Beni,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Butembo,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Goma,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Kalunguta,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Katwa,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Kyondo,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Oicha,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Miti-Murhesa,01-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Rwampara,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review. | 7 new confirmed cases notified on 02 June 2026. | 32 contacts completed their 21-day follow-up successfully.",[],"{""label"": ""neutral"", ""score"": 0.4495}"
Bunia,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review. | 5 new confirmed cases notified on 02 June 2026. | Assault on SDB team at Bunia cemetery: 5 response workers injured.","[{""type"": ""ORG"", ""value"": ""SDB"", ""score"": 0.9151}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9964}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.8009}]","{""label"": ""sadness"", ""score"": 0.7111}"
Nyankunde,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review. | 3 new confirmed cases notified on 02 June 2026.",[],"{""label"": ""neutral"", ""score"": 0.7211}"
Rimba,02-06-2026,Newly affected health zone (Ituri). 3 new confirmed cases notified on 02 June 2026. Bringing to 17 the number of affected health zones in Ituri province.,"[{""type"": ""LOC"", ""value"": ""It"", ""score"": 0.9767}, {""type"": ""LOC"", ""value"": ""It"", ""score"": 0.9942}, {""type"": ""LOC"", ""value"": ""##uri"", ""score"": 0.4345}]","{""label"": ""neutral"", ""score"": 0.425}"
Damas,02-06-2026,Continuation of routine surveillance activities. | 1 new confirmed case notified on 02 June 2026.,[],"{""label"": ""neutral"", ""score"": 0.4173}"
Aru,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Aungba,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Bambu,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Gety,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Kilo,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Komanda,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Lita,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Logo,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Mambasa,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Mangala,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Mongbwalu,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review. | Joint mission (DG INSP, WHO IM, UNICEF FP, WFP) — evaluation of EVD response activities and engagement with politico-administrative authorities and community leaders on their roles in prevention, early case detection and barrier measures.","[{""type"": ""ORG"", ""value"": ""DG INSP"", ""score"": 0.9691}, {""type"": ""ORG"", ""value"": ""WHO IM"", ""score"": 0.9702}, {""type"": ""ORG"", ""value"": ""UNICEF FP"", ""score"": 0.9127}, {""type"": ""ORG"", ""value"": ""WFP"", ""score"": 0.9961}, {""type"": ""ORG"", ""value"": ""E"", ""score"": 0.7225}]","{""label"": ""neutral"", ""score"": 0.7785}"
Nizi,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Beni,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Butembo,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Goma,02-06-2026,Continuation of routine surveillance activities. | Preparation under way for discharge of first recovered patient — planned for 03 June 2026.,[],"{""label"": ""neutral"", ""score"": 0.4858}"
Kalunguta,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Katwa,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Kyondo,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Oicha,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Miti-Murhesa,02-06-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review.",[],"{""label"": ""neutral"", ""score"": 0.6582}"
Bunia,03-06-2026,Cumulative confirmed cases: 97 | Deaths: 9 | CFR: 9.3%. New cases: 12. Discovery of 2 bodies in Salongo neighbourhood awaiting EDS.,"[{""type"": ""LOC"", ""value"": ""Salongo"", ""score"": 0.97}, {""type"": ""ORG"", ""value"": ""E"", ""score"": 0.7266}]","{""label"": ""neutral"", ""score"": 0.7508}"
Rwampara,03-06-2026,"Cumulative confirmed cases: 76 | Deaths: 16 | CFR: 21.1%. New cases: 4. Alerts raised: 166* | Investigated (24h): 88* | Investigation rate: 62%* | Validated alerts: 141. *Partial data for Ituri: 154 new alerts out of 166; investigation ongoing for alerts reported the previous day. New contacts listed: Rwampara 93, Bunia 55, Nyankunde 45, Komanda 28, Aungba 11 (total 232 new contacts). Contacts under follow-up: 3 837 (2 032 seen in 24h, rate 53.0%). Evasion of 2 confirmed cases and 17 suspects in Ituri.","[{""type"": ""ORG"", ""value"": ""It"", ""score"": 0.7764}, {""type"": ""PER"", ""value"": ""R"", ""score"": 0.5651}, {""type"": ""ORG"", ""value"": ""##mpara"", ""score"": 0.7042}, {""type"": ""PER"", ""value"": ""B"", ""score"": 0.9384}, {""type"": ""PER"", ""value"": ""##uni"", ""score"": 0.5093}, {""type"": ""ORG"", ""value"": ""##a"", ""score"": 0.4535}, {""type"": ""PER"", ""value"": ""Nyanku"", ""score"": 0.6306}, {""type"": ""PER"", ""value"": ""Komand"", ""score"": 0.901}, {""type"": ""ORG"", ""value"": ""Aungba"", ""score"": 0.6984}, {""type"": ""LOC"", ""value"": ""Ituri"", ""score"": 0.6712}]","{""label"": ""neutral"", ""score"": 0.7488}"
Mongbwalu,03-06-2026,Cumulative confirmed cases: 47 | Deaths: 10 | CFR: 21.3%. New cases: 0.,[],"{""label"": ""neutral"", ""score"": 0.7183}"
Nyankunde,03-06-2026,Cumulative confirmed cases: 22 | Deaths: 1 | CFR: 4.5%. New cases: 0. New contacts: 45.,[],"{""label"": ""neutral"", ""score"": 0.6731}"
Damas,03-06-2026,Cumulative confirmed cases: 3 | Deaths: 0 | CFR: 0.0%. New cases: 1.,[],"{""label"": ""neutral"", ""score"": 0.7219}"
Lita,03-06-2026,Cumulative confirmed cases: 2 | Deaths: 0 | CFR: 0.0%. New cases: 1. 94 additional cases pending breakdown across other Ituri health zones.,"[{""type"": ""ORG"", ""value"": ""It"", ""score"": 0.5965}]","{""label"": ""neutral"", ""score"": 0.6618}"
Katwa,03-06-2026,Cumulative confirmed cases: 7 | Deaths: 5 | CFR: 71.4%.,[],"{""label"": ""neutral"", ""score"": 0.7576}"
Beni,03-06-2026,Cumulative confirmed cases: 5 | Deaths: 3 | CFR: 60.0%.,[],"{""label"": ""neutral"", ""score"": 0.7801}"
Butembo,03-06-2026,Cumulative confirmed cases: 2 | Deaths: 2 | CFR: 100.0%.,[],"{""label"": ""neutral"", ""score"": 0.8172}"
Oicha,03-06-2026,"Cumulative confirmed cases: 2 | Deaths: 2 | CFR: 100.0%. Response activities paralysed due to popular demonstrations and massacre of approx. 24 civilians at Mbau, attributed to presumed ADF.","[{""type"": ""LOC"", ""value"": ""Mba"", ""score"": 0.7477}, {""type"": ""ORG"", ""value"": ""AD"", ""score"": 0.9634}]","{""label"": ""fear"", ""score"": 0.8927}"
Goma,03-06-2026,"Cumulative confirmed cases: 1 | Deaths: 0 | CFR: 0.0%. Official discharge of first recovered patient.Alerts raised: 237 | Investigated (24h): 216 | Investigation rate: 91% | Validated: 45. Contacts under follow-up: 533 (343 seen in 24h, rate 64.4%). Disparities: Goma, Nyiragongo, Oicha at 100%; Kalunguta at 0%. New cases: 0.","[{""type"": ""PER"", ""value"": ""Go"", ""score"": 0.9874}, {""type"": ""PER"", ""value"": ""N"", ""score"": 0.9569}, {""type"": ""PER"", ""value"": ""##ragong"", ""score"": 0.5969}, {""type"": ""PER"", ""value"": ""O"", ""score"": 0.9781}, {""type"": ""PER"", ""value"": ""Ka"", ""score"": 0.9911}]","{""label"": ""neutral"", ""score"": 0.6594}"
Miti-Murhesa,03-06-2026,"Cumulative confirmed cases: 3 | Deaths: 1 | CFR: 33.3%. 1 confirmed case evaded from CTE Lwiro. Alerts raised: 6 | Investigated (24h): 6 | Investigation rate: 100% | Validated: 0. Contacts under follow-up: 181 (150 seen in 24h, rate 82.9%). New cases: 0.","[{""type"": ""ORG"", ""value"": ""CT"", ""score"": 0.9285}, {""type"": ""ORG"", ""value"": ""Lwiro"", ""score"": 0.8648}]","{""label"": ""neutral"", ""score"": 0.7742}"
Bunia,04-06-2026,"Alerts: 146 raised, 133 investigated (91.1%), 104 validated. Contact tracing: 3,997 contacts under follow-up, 2,181 seen (54.6%) — persistent weak performance, similar to previous 24h. Routine activities: alert reporting, investigations, active case search, contact listing and follow-up, retrospective documentary review of cases and deaths. In-depth investigations conducted around confirmed cases in affected HZ: Bunia, Nyankunde and Rwampara.","[{""type"": ""LOC"", ""value"": ""B"", ""score"": 0.7094}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.4285}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.8165}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.7512}]","{""label"": ""neutral"", ""score"": 0.8928}"
Beni,04-06-2026,"Alerts: 236 raised, 215 investigated (91.1%), 44 validated. Contact tracing: 589 contacts under follow-up, 424 seen (72.0%) — improvement vs previous day.",[],"{""label"": ""neutral"", ""score"": 0.8486}"
Miti-Murhesa,04-06-2026,"Alerts: 12 raised, 11 investigated (91.7%), 5 validated. Contact tracing: 180 contacts under follow-up, 150 seen (83.3%).",[],"{""label"": ""neutral"", ""score"": 0.8408}"
Bunia,05-06-2026,"Routine surveillance activities (alert reporting, investigations, active case search, contact listing and follow-up, retrospective case and death record review). In-depth investigations around confirmed cases in affected health zones (Bunia, Nyankunde and Rwampara). Alerts: 97 raised, 97 investigated (100%), 72 validated (74.2%). Contact tracing: 4,281 contacts under follow-up, 2,701 seen (63.1%) — improvement vs previous day (54.6%).","[{""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9561}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.8604}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.8254}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.8977}]","{""label"": ""neutral"", ""score"": 0.867}"
Beni,05-06-2026,"Alerts: 340 raised, 340 investigated (100%), 40 validated (11.8%). Contact tracing: 689 contacts under follow-up, 578 seen (83.9%) — improvement vs previous day (72.0%).",[],"{""label"": ""neutral"", ""score"": 0.8397}"
Miti-Murhesa,05-06-2026,"Alerts: 8 raised, 8 investigated (100%), 7 validated (87.5%). Contact tracing: 187 contacts under follow-up, 184 seen (98.4%).",[],"{""label"": ""neutral"", ""score"": 0.8622}"
Mongbwalu,05-06-2026,"Deployment of a national PoE/PoC supervisor in Mongbwalu HZ. Activation of Pont Shari PoC. Indicators: 12/55 PoC activated (21.8%); 22,547 travellers passed, 98.2% screened (2.0% refusal), 97.4% handwashing (2.6% refusal), 98.4% sensitised; 3 alerts notified, 2 investigated (66.6%), 1 validated, 1 transferred to CT/ETC or for SDB.","[{""type"": ""ORG"", ""value"": ""PoE / PoC"", ""score"": 0.9118}, {""type"": ""LOC"", ""value"": ""Mongbwalu HZ"", ""score"": 0.8923}, {""type"": ""ORG"", ""value"": ""Pont Shari PoC"", ""score"": 0.9908}, {""type"": ""ORG"", ""value"": ""PoC"", ""score"": 0.8489}, {""type"": ""ORG"", ""value"": ""CT / ETC"", ""score"": 0.8722}, {""type"": ""ORG"", ""value"": ""SDB"", ""score"": 0.9295}]","{""label"": ""neutral"", ""score"": 0.8459}"
Rwampara,06-06-2026,"Alerts: 134 raised, 111 investigated (82.8% — lowest rate), 86 validated. Contact tracing: 4,118 contacts under follow-up, 1,779 seen (43.2%). In-depth investigations conducted around confirmed cases in affected HZ. 210 contacts completed their 21-day follow-up and were discharged (Bunia 110, Rwampara 100).","[{""type"": ""MISC"", ""value"": ""H"", ""score"": 0.5994}, {""type"": ""LOC"", ""value"": ""##Z"", ""score"": 0.5166}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.8049}, {""type"": ""ORG"", ""value"": ""R"", ""score"": 0.9324}, {""type"": ""ORG"", ""value"": ""##mpara"", ""score"": 0.8484}]","{""label"": ""neutral"", ""score"": 0.8335}"
Bunia,07-06-2026,Support for briefing of 23 head nurses of Bunia HZ on the importance of contact listing and follow-up through the DHIS2 tool.,"[{""type"": ""ORG"", ""value"": ""Bunia HZ"", ""score"": 0.8193}, {""type"": ""MISC"", ""value"": ""D"", ""score"": 0.9223}]","{""label"": ""neutral"", ""score"": 0.8229}"
Rwampara,09-06-2026,215 new contacts listed. 25 contacts completed their 21-day follow-up.,[],"{""label"": ""neutral"", ""score"": 0.4847}"
Bunia,09-06-2026,154 new contacts listed.,[],"{""label"": ""neutral"", ""score"": 0.7113}"
Mongbwalu,09-06-2026,70 new contacts listed.,[],"{""label"": ""neutral"", ""score"": 0.6397}"
Nyankunde,09-06-2026,381 contacts completed their 21-day follow-up.s,[],"{""label"": ""neutral"", ""score"": 0.7552}"
Lita,11-06-2026,115 new contacts listed.,[],"{""label"": ""neutral"", ""score"": 0.786}"
Nizi,11-06-2026,101 new contacts listed.,[],"{""label"": ""neutral"", ""score"": 0.6043}"
Bambu,11-06-2026,14 new contacts listed.,[],"{""label"": ""neutral"", ""score"": 0.5684}"
Kambala,11-06-2026,4 new contacts listed.,[],"{""label"": ""neutral"", ""score"": 0.5706}"
Rwampara,23-06-2026,Monitoring of Rwampara ETC extension works. Gradual improvement of technical platform. Continued patient transfers from health facilities/communities to care sites.,"[{""type"": ""ORG"", ""value"": ""Rwampara ETC"", ""score"": 0.9172}]","{""label"": ""neutral"", ""score"": 0.9411}"
Rwampara,24-06-2026,Monitoring of ETC extension works (Rwampara and HGR Bunia). Gradual improvement of technical platform. Patient transfers from health facilities/communities to care sites. Briefing on data reporting at Elikya ETC.,"[{""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9982}, {""type"": ""ORG"", ""value"": ""Rwampara"", ""score"": 0.9671}, {""type"": ""ORG"", ""value"": ""HGR Bunia"", ""score"": 0.9489}, {""type"": ""ORG"", ""value"": ""Elikya ETC"", ""score"": 0.9478}]","{""label"": ""neutral"", ""score"": 0.9356}"
Rwampara,25-06-2026,Monitoring of ETC extension works (Rwampara and HGR Bunia). Gradual improvement of technical platform. Patient transfers from health facilities/communities to care sites. Briefing on data reporting at Elikya ETC.,"[{""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9982}, {""type"": ""ORG"", ""value"": ""Rwampara"", ""score"": 0.9671}, {""type"": ""ORG"", ""value"": ""HGR Bunia"", ""score"": 0.9489}, {""type"": ""ORG"", ""value"": ""Elikya ETC"", ""score"": 0.9478}]","{""label"": ""neutral"", ""score"": 0.9356}"
