nom,date,provincial_logistics_en,ner_json,emotion_json
Ituri,30-06-2026,"Receipt of laboratory reagents, medicines, communication supplies and 60 laptops + 8 printers. Delivery of medicines and IPC supplies to Mangala, CME/Bunia ETC and provincial laboratory. 26 vehicles and 4 ambulances deployed. Fuel: 360 liters for 4 ambulances and 2 jeeps. Construction works ongoing at HGR Bunia, HGR Rwampara, HGR Mongbwalu and HGR Nizi.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9639}, {""type"": ""LOC"", ""value"": ""Mangala"", ""score"": 0.836}, {""type"": ""ORG"", ""value"": ""CME /"", ""score"": 0.8345}, {""type"": ""ORG"", ""value"": ""Bunia ETC"", ""score"": 0.8917}, {""type"": ""ORG"", ""value"": ""HGR Bunia"", ""score"": 0.9147}, {""type"": ""ORG"", ""value"": ""HGR Rwampara"", ""score"": 0.947}, {""type"": ""ORG"", ""value"": ""HGR Mongbwalu"", ""score"": 0.9713}, {""type"": ""ORG"", ""value"": ""HGR Nizi"", ""score"": 0.9634}]","{""label"": ""neutral"", ""score"": 0.8387}"
North-Kivu,30-06-2026,Delivery of swab tubes to Oicha. Briefings of drivers and EPP on barrier measures. Deployment of IPC teams for practical follow-up.,"[{""type"": ""LOC"", ""value"": ""Oicha"", ""score"": 0.9734}, {""type"": ""ORG"", ""value"": ""EPP"", ""score"": 0.9431}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9906}]","{""label"": ""neutral"", ""score"": 0.9312}"
Ituri,02-07-2026,"Receipt of 2 Toyota Land Cruiser vehicles (UNICEF donation to Ituri DPS). 26 vehicles and 4 ambulances deployed. Construction works ongoing at Elikya ETC (14 tents available, laboratory under construction, electrical installation). Communication materials delivered to RCCE pillar. Participation in quantification of needs for Ituri, North Kivu, South Kivu, Haut-Uélé and Tshopo.","[{""type"": ""ORG"", ""value"": ""Toyota Land Cruise"", ""score"": 0.8365}, {""type"": ""MISC"", ""value"": ""##r"", ""score"": 0.6599}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9976}, {""type"": ""ORG"", ""value"": ""It"", ""score"": 0.974}, {""type"": ""ORG"", ""value"": ""Elikya ETC"", ""score"": 0.9694}, {""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.9924}, {""type"": ""LOC"", ""value"": ""Ituri"", ""score"": 0.71}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.9979}, {""type"": ""LOC"", ""value"": ""South Kivu"", ""score"": 0.998}, {""type"": ""LOC"", ""value"": ""Haut - U\u00e9l\u00e9"", ""score"": 0.8913}, {""type"": ""LOC"", ""value"": ""T"", ""score"": 0.9968}, {""type"": ""LOC"", ""value"": ""##shopo"", ""score"": 0.8212}]","{""label"": ""neutral"", ""score"": 0.7148}"
North-Kivu,02-07-2026,"Receipt of 2nd batch of medicines (WHO donation). Delivery of supplies to Beni HZ: 1 Laser Jet cartridge/222 and 38 medicine packages (UG-PDSS donation). Supply of IPC inputs to Oicha HZ (50 Tyvek pieces). Delivery of 370 medicine packages (UG-PDSS donation) to Mutwanga HZ. Packaging of IPC, surveillance and medical care supplies for M'PA HZ. Monitoring of vehicle repair (ICCN donation) at MUTSORA.","[{""type"": ""ORG"", ""value"": ""WHO"", ""score"": 0.9977}, {""type"": ""LOC"", ""value"": ""Beni HZ"", ""score"": 0.9014}, {""type"": ""MISC"", ""value"": ""Jet"", ""score"": 0.612}, {""type"": ""ORG"", ""value"": ""U"", ""score"": 0.914}, {""type"": ""ORG"", ""value"": ""PDSS"", ""score"": 0.7717}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9937}, {""type"": ""ORG"", ""value"": ""Oicha H"", ""score"": 0.9451}, {""type"": ""MISC"", ""value"": ""Ty"", ""score"": 0.548}, {""type"": ""ORG"", ""value"": ""U"", ""score"": 0.95}, {""type"": ""ORG"", ""value"": ""PDSS"", ""score"": 0.8911}, {""type"": ""ORG"", ""value"": ""Mu"", ""score"": 0.5373}, {""type"": ""LOC"", ""value"": ""##wanga HZ"", ""score"": 0.6818}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9937}, {""type"": ""ORG"", ""value"": ""M ' PA H"", ""score"": 0.8845}, {""type"": ""ORG"", ""value"": ""ICC"", ""score"": 0.7325}, {""type"": ""LOC"", ""value"": ""MUTSORA"", ""score"": 0.69}]","{""label"": ""neutral"", ""score"": 0.8752}"
Ituri,03-07-2026,26 vehicles and 4 ambulances deployed. Construction works ongoing at Rwampara ETC. Delivery of IPC and case management inputs to CSR SOTA. Delivery of RCCE kit to HGR Rwampara. Delivery of PIC and surveillance kits to Provincial IMS. Delivery to Nyankunde: 7 surveillance kit packages (29 kg). Delivery to CME ETC: 11 PIC kit packages (70 kg). Receipt of case management and IPC inputs from WHO.,"[{""type"": ""LOC"", ""value"": ""Rwamp"", ""score"": 0.5412}, {""type"": ""ORG"", ""value"": ""##ara ETC"", ""score"": 0.8146}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9823}, {""type"": ""ORG"", ""value"": ""CSR SOTA"", ""score"": 0.96}, {""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.9895}, {""type"": ""ORG"", ""value"": ""HGR Rwampara"", ""score"": 0.8939}, {""type"": ""ORG"", ""value"": ""Provincial IMS"", ""score"": 0.9055}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.8134}, {""type"": ""ORG"", ""value"": ""CME ETC"", ""score"": 0.8792}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9799}, {""type"": ""ORG"", ""value"": ""WHO"", ""score"": 0.9985}]","{""label"": ""neutral"", ""score"": 0.8417}"
North-Kivu,03-07-2026,"Delivery to Beni: 145 IPC kit packages and 1,695 kg case management kits.","[{""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9676}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9955}]","{""label"": ""neutral"", ""score"": 0.8033}"
Ituri,04-07-2026,"Delivery of resuscitation kit and medicines to CME ETC. Delivery of IPC, case management and surveillance supplies to Nyankunde and Rwampara. Delivery of IPC supplies to Safety and Security pillar. Receipt of cargo of IPC, surveillance supplies and laboratory reagents (WHO). 60 liters of fuel. Ongoing infrastructure works: Mongbwalu ETC expansion (+50 beds), construction of 60 beds at HGR Bunia, Elikya ETC development.","[{""type"": ""ORG"", ""value"": ""CME ETC"", ""score"": 0.9614}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9972}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.873}, {""type"": ""LOC"", ""value"": ""Rwamp"", ""score"": 0.695}, {""type"": ""ORG"", ""value"": ""##ara"", ""score"": 0.7828}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9963}, {""type"": ""ORG"", ""value"": ""Safety and Security"", ""score"": 0.8765}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9917}, {""type"": ""ORG"", ""value"": ""WHO"", ""score"": 0.9953}, {""type"": ""ORG"", ""value"": ""Mongbwalu ETC"", ""score"": 0.9466}, {""type"": ""ORG"", ""value"": ""HGR Buni"", ""score"": 0.7093}, {""type"": ""LOC"", ""value"": ""##a"", ""score"": 0.5588}, {""type"": ""ORG"", ""value"": ""Eli"", ""score"": 0.9733}, {""type"": ""LOC"", ""value"": ""##ky"", ""score"": 0.5602}, {""type"": ""ORG"", ""value"": ""##a ETC"", ""score"": 0.8788}]","{""label"": ""neutral"", ""score"": 0.8322}"
Ituri,07-07-2026,"25 vehicles and 4 ambulances deployed. Supplies delivered to RCCE, IPC, ETCs and health zones.","[{""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.9972}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9889}, {""type"": ""ORG"", ""value"": ""ET"", ""score"": 0.996}]","{""label"": ""neutral"", ""score"": 0.8375}"
North-Kivu,07-07-2026,"Delivery of IPC supplies to EDS pillar (100 Tyvek suits, 50 hydro-alcoholic gel bottles, 10 boxes of masks, 100 face shields, 1 OMO soap bag, 10 reusable aprons, 20 examination glove boxes, 5 complete tunics). Delivery of EDS supplies to Mabalako HZ (15 adult body bags, 54 hydro-alcoholic gel bottles, 5 child body bags).","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9966}, {""type"": ""ORG"", ""value"": ""EDS"", ""score"": 0.9184}, {""type"": ""ORG"", ""value"": ""Tyve"", ""score"": 0.532}, {""type"": ""ORG"", ""value"": ""OMO"", ""score"": 0.7416}, {""type"": ""ORG"", ""value"": ""EDS"", ""score"": 0.9767}, {""type"": ""ORG"", ""value"": ""Mabalako H"", ""score"": 0.8899}]","{""label"": ""neutral"", ""score"": 0.8402}"
Ituri,09-07-2026,Delivery of 2 motorcycles (Government donation) to Nyankunde. Deployment of 2 vehicles for SDB teams in Lita. 25 vehicles and 5 ambulances deployed.,"[{""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.7533}, {""type"": ""ORG"", ""value"": ""SDB"", ""score"": 0.9898}, {""type"": ""LOC"", ""value"": ""Lita"", ""score"": 0.9302}]","{""label"": ""neutral"", ""score"": 0.7411}"
North-Kivu,09-07-2026,"Delivery of IPC supplies to SDB teams (hydro-alcoholic gel, body bags, Tyvek suits, goggles, PPE, PPL kits, disinfectant, soap). Briefing on humanitarian stock and medicine management. Monitoring of vehicle 103 repair at Mutsora. 4/11 HZs submitted logistics data. 50 motorcycles and 6 vehicles reported functional. No functional ambulance/hearse reported.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9953}, {""type"": ""ORG"", ""value"": ""SDB"", ""score"": 0.9402}, {""type"": ""ORG"", ""value"": ""Tyvek"", ""score"": 0.8727}, {""type"": ""LOC"", ""value"": ""Mutsora"", ""score"": 0.8449}]","{""label"": ""neutral"", ""score"": 0.5929}"
Ituri,10-07-2026,"Reception of 200 blood bags from the National Blood Transfusion Program. Delivery of IPC/EDS supplies to Lita, Ariwara, Logo, Mongbwalu, Mangala and HGR Bunia ETC. 25 vehicles and 5 ambulances deployed. 295 liters of fuel distributed.","[{""type"": ""ORG"", ""value"": ""National Blood Transfusion Program"", ""score"": 0.9959}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9977}, {""type"": ""ORG"", ""value"": ""EDS"", ""score"": 0.9933}, {""type"": ""ORG"", ""value"": ""Lita"", ""score"": 0.9861}, {""type"": ""ORG"", ""value"": ""Ariwara"", ""score"": 0.6161}, {""type"": ""LOC"", ""value"": ""Lo"", ""score"": 0.5793}, {""type"": ""LOC"", ""value"": ""##go"", ""score"": 0.6179}, {""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.8394}, {""type"": ""LOC"", ""value"": ""##g"", ""score"": 0.6344}, {""type"": ""ORG"", ""value"": ""##bwalu"", ""score"": 0.8042}, {""type"": ""ORG"", ""value"": ""Man"", ""score"": 0.5713}, {""type"": ""LOC"", ""value"": ""##gal"", ""score"": 0.8758}, {""type"": ""ORG"", ""value"": ""##a"", ""score"": 0.8129}, {""type"": ""ORG"", ""value"": ""HGR Bunia ETC"", ""score"": 0.9017}]","{""label"": ""neutral"", ""score"": 0.6892}"
North-Kivu,10-07-2026,"Unpacking and distribution of supplies and medicines (UNICEF, UG-PDSS). Delivery of IPC/EDS supplies to Mabalako, Masereka, Kalunguta, Katwa and INRB. Reception of 1,800 liters of diesel (360 liters to INRB). Deployment of a tent in Katwa. Delivery of 42 motorcycles for RCCE/community surveillance: Beni (8), Kalunguta (4), Oicha (4), Mabalako (2), Butembo (8), Katwa (9), Musienene (4), Kyondo (2), Masereka (1).","[{""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9979}, {""type"": ""ORG"", ""value"": ""UG"", ""score"": 0.9901}, {""type"": ""ORG"", ""value"": ""PDSS"", ""score"": 0.9497}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9962}, {""type"": ""ORG"", ""value"": ""EDS"", ""score"": 0.9808}, {""type"": ""LOC"", ""value"": ""Mabalako"", ""score"": 0.6139}, {""type"": ""LOC"", ""value"": ""Masereka"", ""score"": 0.6202}, {""type"": ""LOC"", ""value"": ""Kalung"", ""score"": 0.5113}, {""type"": ""ORG"", ""value"": ""##uta"", ""score"": 0.6231}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.8154}, {""type"": ""ORG"", ""value"": ""INRB"", ""score"": 0.973}, {""type"": ""ORG"", ""value"": ""INRB"", ""score"": 0.949}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9978}, {""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.9978}, {""type"": ""PER"", ""value"": ""Beni"", ""score"": 0.6758}, {""type"": ""PER"", ""value"": ""Ka"", ""score"": 0.995}, {""type"": ""PER"", ""value"": ""##lunguta"", ""score"": 0.7823}, {""type"": ""PER"", ""value"": ""Oich"", ""score"": 0.8354}, {""type"": ""PER"", ""value"": ""Mabalako"", ""score"": 0.8005}, {""type"": ""PER"", ""value"": ""Butembo"", ""score"": 0.799}, {""type"": ""PER"", ""value"": ""Katwa"", ""score"": 0.6642}, {""type"": ""PER"", ""value"": ""Mu"", ""score"": 0.9971}, {""type"": ""PER"", ""value"": ""##sienene"", ""score"": 0.7147}, {""type"": ""PER"", ""value"": ""Kyondo"", ""score"": 0.7151}, {""type"": ""PER"", ""value"": ""Ma"", ""score"": 0.7692}, {""type"": ""ORG"", ""value"": ""##ser"", ""score"": 0.196}, {""type"": ""PER"", ""value"": ""##eka"", ""score"": 0.5519}]","{""label"": ""neutral"", ""score"": 0.5652}"
Ituri,11-07-2026,"Reception of 18 motorcycles (UNICEF donation) to strengthen mobility of community actors in high-risk HZs. Delivery of IPC, Surveillance and Case Management supplies to Mangala and Lita HZs and Sota ETC. Reception of 10 tons of IPC and case management supplies (WHO support). 25 vehicles and 5 ambulances deployed. 200 liters of fuel distributed.","[{""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9983}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9949}, {""type"": ""ORG"", ""value"": ""Surveillance and Case Management"", ""score"": 0.9731}, {""type"": ""LOC"", ""value"": ""Mangala"", ""score"": 0.8953}, {""type"": ""ORG"", ""value"": ""Lita H"", ""score"": 0.9423}, {""type"": ""ORG"", ""value"": ""Sota ETC"", ""score"": 0.9848}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9747}, {""type"": ""ORG"", ""value"": ""WHO"", ""score"": 0.9969}]","{""label"": ""neutral"", ""score"": 0.8287}"
North-Kivu,11-07-2026,Deployment of pillar teams in health zones. Section meeting held. Packaging of IPC kits and medicines for case management at Mambangu Hospital. Continued unpacking of medicines received from UNICEF. Monitoring of vehicle 103 repair at Mutsora garage.,"[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9952}, {""type"": ""LOC"", ""value"": ""Mambangu Hospital"", ""score"": 0.9935}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9971}, {""type"": ""LOC"", ""value"": ""Mutsora"", ""score"": 0.9324}]","{""label"": ""neutral"", ""score"": 0.8008}"
