nom,date,provincial_management_en,ner_json,emotion_json
Ituri,29-06-2026,"9 patients declared recovered (2 CME, 2 Nyankunde, 1 Rwampara, 1 Elikya, 1 Beni, 1 Kalunguta, 1 Katwa). Cumulative recovered: 189 (176 Ituri, 11 North Kivu, 2 South Kivu). 13 deaths recorded in ETCs (4 Elikya, 4 CME, 2 Mongbwalu, 2 Nyankunde, 1 ISTM) and 1 in Beni ETC. Admissions: 68. Deaths: 17, Non-cases: 24, Recoveries: 6, Escapes: 3. In isolation: 451 (200 confirmed, 251 suspected). Occupancy rate: 102%. 66.7% new confirmed, 61.7% confirmed under follow-up, 55.0% new suspected, 63.3% suspected under follow-up received MHPSS. 14 results announced (0 positive). 56 CTE companions, 11 PPL, 31 households/communities. 16 SDBs supported.","[{""type"": ""ORG"", ""value"": ""C"", ""score"": 0.9849}, {""type"": ""ORG"", ""value"": ""N"", ""score"": 0.9013}, {""type"": ""ORG"", ""value"": ""R"", ""score"": 0.932}, {""type"": ""ORG"", ""value"": ""##mpara"", ""score"": 0.8556}, {""type"": ""ORG"", ""value"": ""Eli"", ""score"": 0.9617}, {""type"": ""ORG"", ""value"": ""Ben"", ""score"": 0.5501}, {""type"": ""LOC"", ""value"": ""##i"", ""score"": 0.6724}, {""type"": ""ORG"", ""value"": ""Kalung"", ""score"": 0.5456}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.6844}, {""type"": ""ORG"", ""value"": ""It"", ""score"": 0.8433}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.9942}, {""type"": ""LOC"", ""value"": ""South Kivu"", ""score"": 0.9962}, {""type"": ""ORG"", ""value"": ""Eliky"", ""score"": 0.8426}, {""type"": ""ORG"", ""value"": ""CME"", ""score"": 0.9249}, {""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.9656}, {""type"": ""ORG"", ""value"": ""##bwalu"", ""score"": 0.7657}, {""type"": ""ORG"", ""value"": ""Nyanku"", ""score"": 0.7255}, {""type"": ""ORG"", ""value"": ""ISTM"", ""score"": 0.8749}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9344}, {""type"": ""ORG"", ""value"": ""ET"", ""score"": 0.7926}]","{""label"": ""neutral"", ""score"": 0.811}"
North-Kivu,29-06-2026,"Admissions: 13. Deaths: 1, Non-cases: 1, Recoveries: 3, Escapes: 2. In isolation: 135 (16 confirmed, 119 suspected). Occupancy rate: 125%. 100% new confirmed, 100% confirmed under follow-up, 100% new suspected, 100% suspected under follow-up received MHPSS. 23 results announced (1 positive). 3 children in community. 2 CTE companions, 11 PPL.",[],"{""label"": ""neutral"", ""score"": 0.8131}"
South-Kivu,29-06-2026,"Admissions: 2. Deaths: 0, Non-cases: 0, Recoveries: 0, Escapes: 0. In isolation: 23 (0 confirmed, 23 suspected). Occupancy rate: 51.1%. 100% new suspected, 100% suspected under follow-up received MHPSS.",[],"{""label"": ""neutral"", ""score"": 0.6826}"
Ituri,30-06-2026,"9 deaths recorded in ETCs (5 Bunia, 2 Mongbwalu, 1 Bambu, 1 Elikya). 19 patients declared recovered. Cumulative recovered: 208 (197 Ituri, 9 North Kivu, 2 South Kivu). Admissions: 69. Deaths: 22, Non-cases: 24, Recoveries: 19, Escapes: 4. In isolation: 415 (186 confirmed, 229 suspected). Occupancy rate: 100%. 66.7% new confirmed, 61.7% confirmed under follow-up, 55% new suspected, 63.3% suspected under follow-up received MHPSS. 14 results announced (0 positive). 56 CTE companions, 11 PPL, 31 households/communities. 16 SDBs supported.","[{""type"": ""ORG"", ""value"": ""B"", ""score"": 0.2661}, {""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.3587}, {""type"": ""ORG"", ""value"": ""Ba"", ""score"": 0.4115}, {""type"": ""ORG"", ""value"": ""Eli"", ""score"": 0.6299}, {""type"": ""LOC"", ""value"": ""It"", ""score"": 0.5635}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.992}, {""type"": ""LOC"", ""value"": ""South Kivu"", ""score"": 0.9917}, {""type"": ""MISC"", ""value"": ""CT"", ""score"": 0.7074}]","{""label"": ""neutral"", ""score"": 0.8163}"
North-Kivu,30-06-2026,"5 deaths recorded in ETCs (4 Katwa, 1 Beni). Admissions: 4. Deaths: 3, Non-cases: 2, Recoveries: 0, Escapes: 1. In isolation: 153 (18 confirmed, 135 suspected). Occupancy rate: 125%. 100% new confirmed, 100% confirmed under follow-up, 100% new suspected, 100% suspected under follow-up received MHPSS. 23 results announced (1 positive). 3 children in community. 2 CTE companions, 11 PPL.","[{""type"": ""MISC"", ""value"": ""ET"", ""score"": 0.5897}, {""type"": ""LOC"", ""value"": ""Kat"", ""score"": 0.7398}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.8551}]","{""label"": ""neutral"", ""score"": 0.8379}"
South-Kivu,30-06-2026,"In isolation: 41 (0 confirmed, 41 suspected). Occupancy rate: 73%. 100% new suspected, 100% suspected under follow-up received MHPSS.","[{""type"": ""ORG"", ""value"": ""M"", ""score"": 0.8794}, {""type"": ""ORG"", ""value"": ""##HP"", ""score"": 0.5886}]","{""label"": ""neutral"", ""score"": 0.5644}"
Ituri,02-07-2026,"13 deaths recorded in ETCs (6 Mongbwalu, 4 Bunia, 2 Rwampara, 1 ISTM, 1 CME). 15 patients declared recovered (6 Mongbwalu, 3 CME, 3 Bunia, 2 Bambu, 1 Rwampara). Cumulative recovered: 244. Admissions: 51. Deaths: 15, Non-cases: 4, Recoveries: 15, Escapes: 1. In isolation: 462 (201 confirmed, 261 suspected). Occupancy rate: 90%. Meals served: 758 (135 confirmed, 175 suspected, 420 PPL, 28 companions). 40% new confirmed, 56.5% confirmed under follow-up, 63.1% new suspected, 67.9% suspected under follow-up received MHPSS. 32 results announced (22 positive). 1 child in crèche (100%). 57 CTE companions, 14 PPL, 15 households/communities. 14 SDBs supported.","[{""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.4992}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.8612}, {""type"": ""ORG"", ""value"": ""R"", ""score"": 0.9741}, {""type"": ""ORG"", ""value"": ""##mpara"", ""score"": 0.8128}, {""type"": ""ORG"", ""value"": ""ISTM"", ""score"": 0.8755}, {""type"": ""ORG"", ""value"": ""CME"", ""score"": 0.7454}, {""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.7213}, {""type"": ""ORG"", ""value"": ""##b"", ""score"": 0.5198}, {""type"": ""ORG"", ""value"": ""CME"", ""score"": 0.8878}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.8624}, {""type"": ""ORG"", ""value"": ""Ba"", ""score"": 0.927}, {""type"": ""ORG"", ""value"": ""R"", ""score"": 0.976}, {""type"": ""ORG"", ""value"": ""##mpara"", ""score"": 0.8913}, {""type"": ""ORG"", ""value"": ""M"", ""score"": 0.8433}, {""type"": ""ORG"", ""value"": ""##HP"", ""score"": 0.5762}]","{""label"": ""neutral"", ""score"": 0.8228}"
North-Kivu,02-07-2026,"1 death recorded in Katwa ETC. 1 patient declared recovered (Katwa). Cumulative recovered: 244 (232 Ituri, 10 North Kivu, 2 South Kivu). Admissions: 21. Deaths: 1, Non-cases: 0, Recoveries: 1, Escapes: 0. In isolation: 147 (14 confirmed, 133 suspected). Occupancy rate: 136%. A 3-month-old confirmed child at Beni HGR; nutritional care ongoing. 100% new confirmed, 100% confirmed under follow-up, 100% new suspected, 100% suspected under follow-up received MHPSS. 13 results announced (1 positive). 8 CTE companions.","[{""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9832}, {""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.8268}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.874}, {""type"": ""LOC"", ""value"": ""It"", ""score"": 0.7321}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.995}, {""type"": ""LOC"", ""value"": ""South Kivu"", ""score"": 0.9943}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.8347}, {""type"": ""ORG"", ""value"": ""H"", ""score"": 0.6944}, {""type"": ""MISC"", ""value"": ""CT"", ""score"": 0.8884}]","{""label"": ""neutral"", ""score"": 0.8098}"
South-Kivu,02-07-2026,"Admissions: 0. In isolation: 19 (0 confirmed, 19 suspected). Occupancy rate: 42.2%. 100% suspected under follow-up received MHPSS. 9 children in community",[],"{""label"": ""neutral"", ""score"": 0.623}"
Ituri,03-07-2026,"8 deaths recorded in ETCs (3 Mongbwalu, 2 ISTM, 1 Bunia, 1 Elikya, 1 SOTA). 9 patients declared recovered (3 ISTM, 3 Mongbwalu, 2 Bambu, 1 Nyankunde). Cumulative recovered: 239. Admissions: 34. Deaths: 6, Non-cases: 30, Recoveries: 9, Escapes: 4. In isolation: 428 (182 confirmed, 246 suspected). Occupancy rate: 90%. 100% new confirmed, 49.5% confirmed under follow-up, 61.9% new suspected, 74.7% suspected under follow-up received MHPSS. 92 results announced (47 positive). 49 CTE companions, 36 PPL, 27 households/communities. 9 SDBs supported.","[{""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.7107}, {""type"": ""ORG"", ""value"": ""##b"", ""score"": 0.6874}, {""type"": ""ORG"", ""value"": ""ISTM"", ""score"": 0.9023}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.9293}, {""type"": ""ORG"", ""value"": ""Eli"", ""score"": 0.9547}, {""type"": ""ORG"", ""value"": ""S"", ""score"": 0.9216}, {""type"": ""ORG"", ""value"": ""##OT"", ""score"": 0.653}, {""type"": ""ORG"", ""value"": ""ISTM"", ""score"": 0.882}, {""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.8351}, {""type"": ""ORG"", ""value"": ""##b"", ""score"": 0.73}, {""type"": ""ORG"", ""value"": ""Ba"", ""score"": 0.815}, {""type"": ""ORG"", ""value"": ""N"", ""score"": 0.8497}]","{""label"": ""neutral"", ""score"": 0.8402}"
North-Kivu,03-07-2026,"2 deaths recorded in Katwa ETC. 1 patient declared recovered (Katwa). Cumulative recovered: 239 (228 Ituri, 9 North Kivu, 2 South Kivu). Admissions: 6. Deaths: 3, Non-cases: 1, Recoveries: 1, Escapes: 0. In isolation: 156 (16 confirmed, 140 suspected). Occupancy rate: 136%. 125% new confirmed, 100% confirmed under follow-up, 100% new suspected, 100% suspected under follow-up received MHPSS. 8 results announced (0 positive). 13 CTE companions, 12 PPL, 2 households/communities.","[{""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9668}, {""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9035}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9433}, {""type"": ""LOC"", ""value"": ""It"", ""score"": 0.7458}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.9943}, {""type"": ""LOC"", ""value"": ""South Kivu"", ""score"": 0.9932}, {""type"": ""MISC"", ""value"": ""CT"", ""score"": 0.4883}]","{""label"": ""neutral"", ""score"": 0.8019}"
South-Kivu,03-07-2026,"Admissions: 0. In isolation: 44 (0 confirmed, 44 suspected). Occupancy rate: 42.2%. 100% suspected under follow-up received MHPSS. 6 children in community. 1 CTE companion, 1 PPL.",[],"{""label"": ""neutral"", ""score"": 0.7155}"
Ituri,04-07-2026,"7 deaths recorded in ETCs (2 Bunia, 2 Mongbwalu, 2 Elikya, 1 Komanda). 15 patients declared recovered (4 Rwampara, 3 Mongbwalu, 3 Bunia, 2 Komanda, 1 CME, 1 Elikya, 1 Nyankunde). Cumulative recovered: 254. Admissions: 33. Deaths: 6, Non-cases: 11, Recoveries: 15, Escapes: 1. In isolation: 456 (189 confirmed, 267 suspected). Occupancy rate: 90%. 52.6% new confirmed, 34.4% confirmed under follow-up, 27.6% new suspected, 65.5% suspected under follow-up received MHPSS. 27 results announced (11 positive). 9 children in crèche. 48 CTE companions, 17 PPL, 16 households/communities. 12 SDBs supported","[{""type"": ""ORG"", ""value"": ""B"", ""score"": 0.5257}, {""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.687}, {""type"": ""ORG"", ""value"": ""##b"", ""score"": 0.5288}, {""type"": ""ORG"", ""value"": ""Eli"", ""score"": 0.8958}, {""type"": ""ORG"", ""value"": ""Ko"", ""score"": 0.4498}, {""type"": ""ORG"", ""value"": ""R"", ""score"": 0.8695}, {""type"": ""ORG"", ""value"": ""##mpara"", ""score"": 0.7571}, {""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.8147}, {""type"": ""ORG"", ""value"": ""##b"", ""score"": 0.5703}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.8575}, {""type"": ""ORG"", ""value"": ""Ko"", ""score"": 0.6501}, {""type"": ""ORG"", ""value"": ""CME"", ""score"": 0.9003}, {""type"": ""ORG"", ""value"": ""Elikya"", ""score"": 0.698}, {""type"": ""ORG"", ""value"": ""N"", ""score"": 0.9535}, {""type"": ""ORG"", ""value"": ""##yan"", ""score"": 0.6984}]","{""label"": ""neutral"", ""score"": 0.7653}"
North-Kivu,04-07-2026,"1 death recorded in Katwa ETC. 0 patients declared recovered. Cumulative recovered: 254 (243 Ituri, 9 North Kivu, 2 South Kivu). Admissions: 3. Deaths: 0, Non-cases: 0, Recoveries: 0, Escapes: 0. In isolation: 159 (17 confirmed, 142 suspected). Occupancy rate: 136%. Official opening of Beni ETC (20 beds). Transfer of 1 confirmed PPL case from Musienene to Katwa. 100% new confirmed, 100% confirmed under follow-up, 100% new suspected, 100% suspected under follow-up received MHPSS. 19 results announced (0 positive). 15 children in community. 22 CTE companions.","[{""type"": ""ORG"", ""value"": ""Kat"", ""score"": 0.5888}, {""type"": ""LOC"", ""value"": ""##wa"", ""score"": 0.8718}, {""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9095}, {""type"": ""LOC"", ""value"": ""It"", ""score"": 0.5224}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.9959}, {""type"": ""LOC"", ""value"": ""South Kivu"", ""score"": 0.9974}, {""type"": ""ORG"", ""value"": ""Ben"", ""score"": 0.8927}, {""type"": ""LOC"", ""value"": ""##i"", ""score"": 0.446}, {""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9051}, {""type"": ""MISC"", ""value"": ""PP"", ""score"": 0.5864}, {""type"": ""LOC"", ""value"": ""Musienene"", ""score"": 0.784}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9962}, {""type"": ""MISC"", ""value"": ""CT"", ""score"": 0.6844}]","{""label"": ""neutral"", ""score"": 0.7466}"
South-Kivu,04-07-2026,"Admissions: 0. In isolation: 45 (0 confirmed, 45 suspected). Occupancy rate: 42.2%. 100% suspected under follow-up received MHPSS. 13 children in community.","[{""type"": ""ORG"", ""value"": ""M"", ""score"": 0.5198}]","{""label"": ""neutral"", ""score"": 0.6577}"
Ituri,07-07-2026,"9 deaths recorded in ETCs/transit centers. 5 patients declared recovered (2 SOTA, 1 Rwampara, 1 Mongbwalu, 1 Nyankunde). Cumulative recovered: 268. Admissions: 71 (4 PPL, 67 others). Deaths: 16, Non-cases: 28, Recoveries: 5, Escapes: 9. In isolation: 518 (212 confirmed, 306 suspected). Occupancy rate: 85%. Meals served: 927 (131 suspected, 146 confirmed, 601 PPL, 49 companions). 41.7% new confirmed, 41.8% confirmed under follow-up, 22.9% new suspected, 52.2% suspected under follow-up received MHPSS. 74 results announced (60 positive). 10 children in crèche. 38 CTE companions, 28 PPL, 31 households/communities. 6 SDBs supported.","[{""type"": ""ORG"", ""value"": ""S"", ""score"": 0.5515}, {""type"": ""ORG"", ""value"": ""R"", ""score"": 0.7868}, {""type"": ""ORG"", ""value"": ""##mpara"", ""score"": 0.8148}, {""type"": ""LOC"", ""value"": ""Mon"", ""score"": 0.4572}, {""type"": ""ORG"", ""value"": ""##b"", ""score"": 0.4518}, {""type"": ""ORG"", ""value"": ""N"", ""score"": 0.562}]","{""label"": ""neutral"", ""score"": 0.8391}"
North-Kivu,07-07-2026,"Admissions: 32. Deaths: 0, Non-cases: 0, Recoveries: 0, Escapes: 0. In isolation: 193 (20 confirmed, 173 suspected). Occupancy rate: 137%. 100% suspected under follow-up received MHPSS. 5 children in community. 2 CTE companions, 2 PPL.",[],"{""label"": ""neutral"", ""score"": 0.6041}"
South-Kivu,07-07-2026,"Admissions: 15. Deaths: 0, Non-cases: 4, Recoveries: 0, Escapes: 0. In isolation: 39 (0 confirmed, 39 suspected). Occupancy rate: 86.6%.",[],"{""label"": ""neutral"", ""score"": 0.7397}"
Ituri,09-07-2026,"6 deaths recorded in ETCs (4 Bunia, 2 Mongbwalu). 4 patients declared recovered (2 ISTM, 2 Komanda). Cumulative recovered: 281. Admissions: 43. Deaths: 10, Non-cases: 27, Recoveries: 4, Escapes: 4, Transfers: 2. In isolation: 536 (218 confirmed, 318 suspected). Occupancy rate: 89.9%. Meals served: 1,045 (141 suspected, 162 confirmed, 708 PPL, 34 companions). 38.9% new confirmed, 30.4% confirmed under follow-up, 28.8% new suspected, 33.9% suspected under follow-up received MHPSS. 27 results announced (0 positive). 128 CTE companions, 19 PPL, 23 households/communities. ","[{""type"": ""LOC"", ""value"": ""Mon"", ""score"": 0.2926}, {""type"": ""ORG"", ""value"": ""IS"", ""score"": 0.5988}]","{""label"": ""neutral"", ""score"": 0.8683}"
North-Kivu,09-07-2026,"1 patient declared recovered (Katwa). Cumulative recovered: 281 (271 Ituri, 8 North Kivu, 2 South Kivu). Admissions: 44. Deaths: 0, Non-cases: 27, Recoveries: 1, Escapes: 0. In isolation: 225 (20 confirmed, 205 suspected). Occupancy rate: 160%. 100% new confirmed, 100% confirmed under follow-up, 100% new suspected, 100% suspected under follow-up received MHPSS. 4 results announced (0 positive). 8 CTE companions, 1 PPL.","[{""type"": ""MISC"", ""value"": ""It"", ""score"": 0.4464}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.9959}, {""type"": ""LOC"", ""value"": ""South Kivu"", ""score"": 0.9975}, {""type"": ""MISC"", ""value"": ""CT"", ""score"": 0.6861}]","{""label"": ""neutral"", ""score"": 0.8366}"
South-Kivu,09-07-2026,"Admissions: 2. Deaths: 0, Non-cases: 6, Recoveries: 0, Escapes: 0. In isolation: 19 (0 confirmed, 19 suspected). Occupancy rate: 42.2%. 2 new suspected and 2 suspected under follow-up received MHPSS. 7 children in community.",[],"{""label"": ""neutral"", ""score"": 0.6312}"
Ituri,10-07-2026,"9 deaths recorded in ETCs/transit centers (3 CME, 2 Elikya, 1 Bunia, 1 ISTM, 1 Sota, 1 Nizi). 6 patients declared recovered (4 Bunia, 1 Mongbwalu, 1 ISTM). Cumulative recovered: 287. Admissions: 69. Deaths: 18, Non-cases: 28, Recoveries: 6, Escapes: 9. In isolation: 543 (237 confirmed, 306 suspected). Occupancy rate: 88%. Meals served: 981 (160 suspected, 178 confirmed, 586 PPL, 57 companions). Reception of 200 blood bags (135 O+, 27 A+, 34 B+, 2 O-, 2 AB+). 12.5% new confirmed, 58.6% confirmed under follow-up, 27.5% new suspected, 77.7% suspected under follow-up received MHPSS. 14 results announced (0 positive). 10 children in crèche. 110 CTE  companions, 43 PPL, 62 households/communities. 3 SDBs supported.","[{""type"": ""ORG"", ""value"": ""C"", ""score"": 0.9507}, {""type"": ""ORG"", ""value"": ""Eli"", ""score"": 0.8602}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.6055}, {""type"": ""ORG"", ""value"": ""IS"", ""score"": 0.9541}, {""type"": ""ORG"", ""value"": ""So"", ""score"": 0.7544}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.4583}, {""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.5948}, {""type"": ""ORG"", ""value"": ""IS"", ""score"": 0.9102}]","{""label"": ""neutral"", ""score"": 0.8113}"
North-Kivu,10-07-2026,"Admissions: 36. Deaths: 0, Non-cases: 6, Recoveries: 0, Escapes: 0, Transfers: 1. In isolation: 196 (22 confirmed, 174 suspected). Occupancy rate: 135.2%. 100% confirmed under follow-up, 100% new suspected, 100% suspected under follow-up received MHPSS. 2 results announced (0 positive). 24 CTE companions.",[],"{""label"": ""neutral"", ""score"": 0.8386}"
South-Kivu,10-07-2026,"Admissions: 5. Deaths: 0, Non-cases: 6, Recoveries: 0, Escapes: 0. In isolation: 24 (0 confirmed, 24 suspected). Occupancy rate: 53.3%. 2 new suspected and 2 suspected under follow-up received MHPSS. 7 children in community.",[],"{""label"": ""neutral"", ""score"": 0.6618}"
Ituri,11-07-2026,"9 deaths recorded in ETCs/transit centers (4 Mongbwalu, 2 Elikya, 1 Rwampara, 1 Sota, 1 Nia-Nia HGR). 12 patients declared recovered (3 CME, 2 Mongbwalu, 3 ISTM, 4 Sota) including one patient under clinical trial at CME ETC. Cumulative recovered: 299. Admissions: 67. Deaths: 14, Non-cases: 42, Recoveries: 12, Escapes: 8. In isolation: 535 (227 confirmed, 308 suspected). Occupancy rate: 87%. Meals served: 936 (95 suspected, 149 confirmed, 664 PPL, 28 companions). 3 ambulance runs: 2 from Lopa to ISTM Nyankunde ETC, 1 from Sangaki/Mandro to HGR Bunia. 3 ambulances operational, 1 non-operational (battery issue). 18.2% new confirmed, 61.6% confirmed under follow-up, 80.6% new suspected, 37.3% suspected under follow-up received MHPSS. 12 results announced (2 positive). 6 children in crèche. 67 CTE companions, 26 PPL, 32 households/communities. 2 SDBs supported.","[{""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.5668}, {""type"": ""ORG"", ""value"": ""##b"", ""score"": 0.6249}, {""type"": ""ORG"", ""value"": ""Eli"", ""score"": 0.9655}, {""type"": ""ORG"", ""value"": ""R"", ""score"": 0.924}, {""type"": ""ORG"", ""value"": ""##mpara"", ""score"": 0.7505}, {""type"": ""ORG"", ""value"": ""Sota"", ""score"": 0.8103}, {""type"": ""ORG"", ""value"": ""Ni"", ""score"": 0.9473}, {""type"": ""ORG"", ""value"": ""Ni"", ""score"": 0.5479}, {""type"": ""ORG"", ""value"": ""CME"", ""score"": 0.7851}, {""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.8811}, {""type"": ""ORG"", ""value"": ""##bwal"", ""score"": 0.6334}, {""type"": ""ORG"", ""value"": ""ISTM"", ""score"": 0.9884}, {""type"": ""ORG"", ""value"": ""Sota"", ""score"": 0.8754}, {""type"": ""ORG"", ""value"": ""C"", ""score"": 0.995}, {""type"": ""ORG"", ""value"": ""##ME ETC"", ""score"": 0.9492}, {""type"": ""ORG"", ""value"": ""Lopa"", ""score"": 0.7265}, {""type"": ""ORG"", ""value"": ""ISTM Nyanku"", ""score"": 0.871}, {""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9038}, {""type"": ""LOC"", ""value"": ""Sangaki"", ""score"": 0.9673}, {""type"": ""LOC"", ""value"": ""Mandro"", ""score"": 0.9785}, {""type"": ""ORG"", ""value"": ""H"", ""score"": 0.9825}, {""type"": ""ORG"", ""value"": ""Bunia"", ""score"": 0.5143}]","{""label"": ""neutral"", ""score"": 0.7682}"
North-Kivu,11-07-2026,"1 death recorded in Butembo ETC. Admissions: 21. Deaths: 1, Non-cases: 3, Recoveries: 0, Escapes: 0. In isolation: 188 (21 confirmed, 167 suspected). Occupancy rate: 129.6%.","[{""type"": ""ORG"", ""value"": ""Butembo ETC"", ""score"": 0.8756}]","{""label"": ""neutral"", ""score"": 0.4999}"
South-Kivu,11-07-2026,"Admissions: 6. Deaths: 0, Non-cases: 3, Recoveries: 0, Escapes: 0. In isolation: 30 (0 confirmed, 30 suspected). Occupancy rate: 66.6%. 2 new suspected and 1 suspected under follow-up received MHPSS. 7 children in community.",[],"{""label"": ""neutral"", ""score"": 0.6543}"
